speciesKey,species,scientificName,genus,family,order,class,numberOfOccurrences,iucnRedListCategory
3121436,Artemisia frigida,Artemisia frigida Willd.,Artemisia,Asteraceae,Asterales,Magnoliopsida,12113,
5415039,Syringa vulgaris,Syringa vulgaris L.,Syringa,Oleaceae,Lamiales,Magnoliopsida,12108,LC
5290081,Alopecurus pratensis,Alopecurus pratensis L.,Alopecurus,Poaceae,Poales,Liliopsida,12103,
3137579,Galactites tomentosa,Galactites tomentosa Moench,Galactites,Asteraceae,Asterales,Magnoliopsida,12084,
2882940,Vaccinium oxycoccos,Vaccinium oxycoccos L.,Vaccinium,Ericaceae,Ericales,Magnoliopsida,12072,LC
3150935,Echinacea purpurea,Echinacea purpurea (L.) Moench,Echinacea,Asteraceae,Asterales,Magnoliopsida,12066,LC
7755768,Pedicularis densiflora,Pedicularis densiflora Benth.,Pedicularis,Orobanchaceae,Lamiales,Magnoliopsida,12051,
2874521,Cucurbita foetidissima,Cucurbita foetidissima Kunth,Cucurbita,Cucurbitaceae,Cucurbitales,Magnoliopsida,12037,LC
7346102,Erythranthe guttata,Erythranthe guttata (DC.) G.L.Nesom,Erythranthe,Phrymaceae,Lamiales,Magnoliopsida,12022,LC
5414202,Myrica gale,Myrica gale L.,Myrica,Myricaceae,Fagales,Magnoliopsida,11972,LC
3172043,Rhinanthus minor,Rhinanthus minor L.,Rhinanthus,Orobanchaceae,Lamiales,Magnoliopsida,11964,
2820475,Cypripedium parviflorum,Cypripedium parviflorum Salisb.,Cypripedium,Orchidaceae,Asparagales,Liliopsida,11961,LC
2781074,Hemerocallis fulva,Hemerocallis fulva (L.) L.,Hemerocallis,Asphodelaceae,Asparagales,Liliopsida,11955,
3039459,Frangula californica,Frangula californica (Eschsch.) A.Gray,Frangula,Rhamnaceae,Rosales,Magnoliopsida,11948,LC
2978730,Acacia longifolia,Acacia longifolia (Andrews) Willd.,Acacia,Fabaceae,Fabales,Magnoliopsida,11943,LC
5304187,Triteleia laxa,Triteleia laxa Benth.,Triteleia,Asparagaceae,Asparagales,Liliopsida,11934,
3147913,Verbesina encelioides,Verbesina encelioides (Cav.) Benth. & Hook.fil. ex A.Gray,Verbesina,Asteraceae,Asterales,Magnoliopsida,11931,
3172086,Veronica anagallis-aquatica,Veronica anagallis-aquatica L.,Veronica,Plantaginaceae,Lamiales,Magnoliopsida,11930,LC
6358362,Scaevola taccada,Scaevola taccada (Gaertn.) Roxb.,Scaevola,Goodeniaceae,Asterales,Magnoliopsida,11924,
3033255,Anemone virginiana,Anemone virginiana L.,Anemone,Ranunculaceae,Ranunculales,Magnoliopsida,11920,
5384501,Stellaria aquatica,Stellaria aquatica (L.) Scop.,Stellaria,Caryophyllaceae,Caryophyllales,Magnoliopsida,11915,
3092576,Silphium perfoliatum,Silphium perfoliatum L.,Silphium,Asteraceae,Asterales,Magnoliopsida,11898,
2856301,Allium tricoccum,Allium tricoccum Aiton,Allium,Amaryllidaceae,Asparagales,Liliopsida,11898,LC
3082254,Cornus unalaschkensis,Cornus unalaschkensis Ledeb.,Cornus,Cornaceae,Cornales,Magnoliopsida,11890,
2930222,Solanum americanum,Solanum americanum Mill.,Solanum,Solanaceae,Solanales,Magnoliopsida,11863,
3172492,Tecoma stans,Tecoma stans (L.) Juss. ex Kunth,Tecoma,Bignoniaceae,Lamiales,Magnoliopsida,11861,LC
10902460,Salvia rosmarinus,Salvia rosmarinus Spenn.,Salvia,Lamiaceae,Lamiales,Magnoliopsida,11839,
2984463,Laportea canadensis,Laportea canadensis (L.) Wedd.,Laportea,Urticaceae,Rosales,Magnoliopsida,11836,
3113650,Cirsium oleraceum,Cirsium oleraceum (L.) Scop.,Cirsium,Asteraceae,Asterales,Magnoliopsida,11786,
2979775,Acacia mearnsii,Acacia mearnsii De Wild.,Acacia,Fabaceae,Fabales,Magnoliopsida,11776,
3189132,Epilobium canum,Epilobium canum (Greene) P.H.Raven,Epilobium,Onagraceae,Myrtales,Magnoliopsida,11774,
5389076,Solidago caesia,Solidago caesia L.,Solidago,Asteraceae,Asterales,Magnoliopsida,11773,
2702504,Melinis repens,Melinis repens (Willd.) Zizka,Melinis,Poaceae,Poales,Liliopsida,11770,
5333413,Andromeda polifolia,Andromeda polifolia L.,Andromeda,Ericaceae,Ericales,Magnoliopsida,11726,LC
5369784,Geum macrophyllum,Geum macrophyllum Willd.,Geum,Rosaceae,Rosales,Magnoliopsida,11721,
3884879,Phlomoides tuberosa,Phlomoides tuberosa (L.) Moench,Phlomoides,Lamiaceae,Lamiales,Magnoliopsida,11718,
5362021,Sedum lanceolatum,Sedum lanceolatum Torr.,Sedum,Crassulaceae,Saxifragales,Magnoliopsida,11692,
5384664,Stellaria pubera,Stellaria pubera Michx.,Stellaria,Caryophyllaceae,Caryophyllales,Magnoliopsida,11679,
5384823,Silene virginica,Silene virginica L.,Silene,Caryophyllaceae,Caryophyllales,Magnoliopsida,11671,
2795869,Cephalanthera longifolia,Cephalanthera longifolia (L.) Fritsch,Cephalanthera,Orchidaceae,Asparagales,Liliopsida,11670,
2986111,Ribes aureum,Ribes aureum Pursh,Ribes,Grossulariaceae,Saxifragales,Magnoliopsida,11659,
3084760,Claytonia caroliniana,Claytonia caroliniana Michx.,Claytonia,Montiaceae,Caryophyllales,Magnoliopsida,11645,
2889304,Persicaria capitata,Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross,Persicaria,Polygonaceae,Caryophyllales,Magnoliopsida,11595,
3130484,Eriophyllum confertiflorum,Eriophyllum confertiflorum (DC.) A.Gray,Eriophyllum,Asteraceae,Asterales,Magnoliopsida,11591,
3114649,Carduus crispus,Carduus crispus L.,Carduus,Asteraceae,Asterales,Magnoliopsida,11590,
2975204,Vicia americana,Vicia americana Muhl. ex Willd.,Vicia,Fabaceae,Fabales,Magnoliopsida,11570,
5324959,Himantoglossum robertianum,Himantoglossum robertianum (Loisel.) P.Delforge,Himantoglossum,Orchidaceae,Asparagales,Liliopsida,11561,
3033256,Anemone berlandieri,Anemone berlandieri Pritz.,Anemone,Ranunculaceae,Ranunculales,Magnoliopsida,11547,
3133512,Scorzoneroides autumnalis,Scorzoneroides autumnalis (L.) Moench,Scorzoneroides,Asteraceae,Asterales,Magnoliopsida,11532,
2703723,Bromus catharticus,Bromus catharticus Vahl,Bromus,Poaceae,Poales,Liliopsida,11525,
2927744,Phlox paniculata,Phlox paniculata L.,Phlox,Polemoniaceae,Ericales,Magnoliopsida,11507,
3738478,Lathraea squamaria,Lathraea squamaria L.,Lathraea,Orobanchaceae,Lamiales,Magnoliopsida,11502,
3190411,Ptelea trifoliata,Ptelea trifoliata L.,Ptelea,Rutaceae,Sapindales,Magnoliopsida,11493,LC
2715482,Cyperus eragrostis,Cyperus eragrostis Lam.,Cyperus,Cyperaceae,Poales,Liliopsida,11490,LC
5361877,Ulmus pumila,Ulmus pumila L.,Ulmus,Ulmaceae,Rosales,Magnoliopsida,11487,LC
3152253,Urena lobata,Urena lobata L.,Urena,Malvaceae,Malvales,Magnoliopsida,11474,LC
3189807,Aesculus pavia,Aesculus pavia L.,Aesculus,Sapindaceae,Sapindales,Magnoliopsida,11469,LC
2891664,Oxalis articulata,Oxalis articulata Savigny,Oxalis,Oxalidaceae,Oxalidales,Magnoliopsida,11468,
5341184,Myosotis scorpioides,Myosotis scorpioides L.,Myosotis,Boraginaceae,Boraginales,Magnoliopsida,11454,
